ID,feature1,feature2,feature3,feature4,feature5,Year
novelist_a,0.530816464,0.770623465,0.397336556,0.70863908,0.646731069,1880
novelist_a,0.525454129,0.677485059,0.865397932,0.718314741,0.869227219,1890
novelist_a,0.612755896,0.424613168,0.12011501,0.616683455,0.844589893,1900
novelist_b,0.820137273,0.370117628,0.250596817,0.192598386,0.740947226,1880
novelist_b,0.625196124,0.281859486,0.188411299,0.433386745,0.477944204,1890
novelist_b,0.216955246,0.396827362,0.652917988,0.175564506,0.526815876,1900
novelist_c,0.438914776,0.965428635,0.200993806,0.295013145,0.121512433,1880
novelist_c,0.606735654,0.288875545,0.890682131,0.758914839,0.69349809,1890
novelist_c,0.415426214,0.098543267,0.943588808,0.600215128,0.07944195,1900
novelist_d,0.39959745,0.605828163,0.398065823,0.190225126,0.128790398,1880
novelist_d,0.19726494,0.46563675,0.613700705,0.108250745,0.419414697,1890
novelist_d,0.032174537,0.463774774,0.876166235,0.872649821,0.770454856,1900
novelist_e,0.960868485,0.471134139,0.451083401,0.218006756,0.997003797,1880
novelist_e,0.954506727,0.783087589,0.431863861,0.271504534,0.975650397,1890
novelist_e,0.868247454,0.714496046,0.094238285,0.059245352,0.239309615,1900
